,uuid,symbol,name,color,iconUrl,marketCap,price,listedAt,tier,change,rank,sparkline,lowVolume,coinrankingUrl,24hVolume,btcPrice
18,Qwsogvtv82FCd,BTC,Bitcoin,#f7931A,https://cdn.coinranking.com/bOabBYkcX/bitcoin_btc.svg,7.80732E+11,41067.93004,1330214400,1,2.54,1,39937.39943,FALSE,https://coinranking.com/coin/Qwsogvtv82FCd+bitcoin-btc,28468005952,1
19,Qwsogvtv82FCd,BTC,Bitcoin,#f7931A,https://cdn.coinranking.com/bOabBYkcX/bitcoin_btc.svg,7.80732E+11,41067.93004,1330214400,1,2.54,1,39977.9048,FALSE,https://coinranking.com/coin/Qwsogvtv82FCd+bitcoin-btc,28468005952,1
20,Qwsogvtv82FCd,BTC,Bitcoin,#f7931A,https://cdn.coinranking.com/bOabBYkcX/bitcoin_btc.svg,7.80732E+11,41067.93004,1330214400,1,2.54,1,39792.78431,FALSE,https://coinranking.com/coin/Qwsogvtv82FCd+bitcoin-btc,28468005952,1
21,Qwsogvtv82FCd,BTC,Bitcoin,#f7931A,https://cdn.coinranking.com/bOabBYkcX/bitcoin_btc.svg,7.80732E+11,41067.93004,1330214400,1,2.54,1,40472.36692,FALSE,https://coinranking.com/coin/Qwsogvtv82FCd+bitcoin-btc,28468005952,1
22,Qwsogvtv82FCd,BTC,Bitcoin,#f7931A,https://cdn.coinranking.com/bOabBYkcX/bitcoin_btc.svg,7.80732E+11,41067.93004,1330214400,1,2.54,1,40713.88142,FALSE,https://coinranking.com/coin/Qwsogvtv82FCd+bitcoin-btc,28468005952,1
23,Qwsogvtv82FCd,BTC,Bitcoin,#f7931A,https://cdn.coinranking.com/bOabBYkcX/bitcoin_btc.svg,7.80732E+11,41067.93004,1330214400,1,2.54,1,41166.47061,FALSE,https://coinranking.com/coin/Qwsogvtv82FCd+bitcoin-btc,28468005952,1
24,Qwsogvtv82FCd,BTC,Bitcoin,#f7931A,https://cdn.coinranking.com/bOabBYkcX/bitcoin_btc.svg,7.80732E+11,41067.93004,1330214400,1,2.54,1,41119.93544,FALSE,https://coinranking.com/coin/Qwsogvtv82FCd+bitcoin-btc,28468005952,1
25,Qwsogvtv82FCd,BTC,Bitcoin,#f7931A,https://cdn.coinranking.com/bOabBYkcX/bitcoin_btc.svg,7.80732E+11,41067.93004,1330214400,1,2.54,1,41012.46931,FALSE,https://coinranking.com/coin/Qwsogvtv82FCd+bitcoin-btc,28468005952,1
26,Qwsogvtv82FCd,BTC,Bitcoin,#f7931A,https://cdn.coinranking.com/bOabBYkcX/bitcoin_btc.svg,7.80732E+11,41067.93004,1330214400,1,2.54,1,41067.93004,FALSE,https://coinranking.com/coin/Qwsogvtv82FCd+bitcoin-btc,28468005952,1
27,razxDUgYGNAdQ,ETH,Ethereum,#3C3C3D,https://cdn.coinranking.com/rk4RKHOuW/eth.svg,3.70561E+11,3088.299491,1438905600,1,1.71,2,3036.485799,FALSE,https://coinranking.com/coin/razxDUgYGNAdQ+ethereum-eth,16669227543,0.075199785
28,razxDUgYGNAdQ,ETH,Ethereum,#3C3C3D,https://cdn.coinranking.com/rk4RKHOuW/eth.svg,3.70561E+11,3088.299491,1438905600,1,1.71,2,3013.487044,FALSE,https://coinranking.com/coin/razxDUgYGNAdQ+ethereum-eth,16669227543,0.075199785
29,razxDUgYGNAdQ,ETH,Ethereum,#3C3C3D,https://cdn.coinranking.com/rk4RKHOuW/eth.svg,3.70561E+11,3088.299491,1438905600,1,1.71,2,2991.951966,FALSE,https://coinranking.com/coin/razxDUgYGNAdQ+ethereum-eth,16669227543,0.075199785
30,razxDUgYGNAdQ,ETH,Ethereum,#3C3C3D,https://cdn.coinranking.com/rk4RKHOuW/eth.svg,3.70561E+11,3088.299491,1438905600,1,1.71,2,2991.581379,FALSE,https://coinranking.com/coin/razxDUgYGNAdQ+ethereum-eth,16669227543,0.075199785
31,razxDUgYGNAdQ,ETH,Ethereum,#3C3C3D,https://cdn.coinranking.com/rk4RKHOuW/eth.svg,3.70561E+11,3088.299491,1438905600,1,1.71,2,3005.135608,FALSE,https://coinranking.com/coin/razxDUgYGNAdQ+ethereum-eth,16669227543,0.075199785
32,razxDUgYGNAdQ,ETH,Ethereum,#3C3C3D,https://cdn.coinranking.com/rk4RKHOuW/eth.svg,3.70561E+11,3088.299491,1438905600,1,1.71,2,3010.290418,FALSE,https://coinranking.com/coin/razxDUgYGNAdQ+ethereum-eth,16669227543,0.075199785
