iconUrl,symbol,name,sparkline
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2039702898038216440000
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2034179165119390060000
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2026684365022506570000
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2027002070441521050000
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2026033574095117910000
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2025946537727138810000
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2029945943315422270000
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2034288259716908840000
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2035020242345778920000
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2032306907203317380000
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2047445429684204760000
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2046925849215481670000
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2051535071694612800000
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2054920005951065950000
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2051948478803371430000
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2026345006961453100000
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2021248871946610840000
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2013842895432525490000
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2015576152232289180000
https://cdn.coinranking.com/78CxK1xsp/Stellar_symbol_black_RGB.svg,XLM,Stellar,0.2021446240557802330000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0610969045118042250000
https://cdn.coinranking.com/B1_TDu9Dm/VEN.svg,VET,VeChain,0.0609386978871552970000
