,uuid,symbol,name,color,iconUrl,marketCap,price,listedAt,tier,change,rank,sparkline,lowVolume,coinrankingUrl,24hVolume,btcPrice
0,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,102.9456487283825873180000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
1,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,102.0753679505957098100000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
2,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,101.5638084621567384050000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
3,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,100.4320342693290951300000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
4,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,99.8030825875918242560000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
5,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,100.1484987964808848410000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
6,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,100.0193007338599424180000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
7,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,100.4699566987082795670000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
8,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,99.9039623715458471620000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
9,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,99.2231939928015357060000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
10,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,99.7858050457149255440000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
11,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,101.4072270562910676650000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
12,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,102.7271968869121377530000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
13,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,102.3215129215716001120000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
14,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,103.0269549380217138230000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
15,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,103.0617240826067570400000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
16,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,103.1508131951762560580000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
17,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,103.1029309280734654450000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
18,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,104.9961154984020273840000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
19,zNZHO_Sjf,SOL,Solana,,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,33388585215,101.80943570330352,1586539320,1,-1.1,6,106.9601041511310504810000,False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,2458785706,0.002559640251976269
